Structure of the permanent resident population by canton, on 31.12.2023;;;;;;;;;;;;;;;;;;T 01.02.03.04
;Total;Age;;;Sex;;Citizenship;;Marital status 1;;;;;;;Typology: Area with urban character 2;;
;;0–19;20–64;65 and over;Male;Female;Swiss;Foreigner;Single;Married;Widowed;Divorced;Unmarried;In a registered partnership;Partnership dissolved;Urban core;Area influenced;Area beyond
;;;;;;;;;;;;;;;;area;by urban cores;urban core
;;;;;;;;;;;;;;;;;;influence
Nidwalden;42.969 ;7.868 ;26.620 ;8.481 ;22.006 ;20.963 ;36.712 ;6.257 ;18.592 ;19.055 ;1.979 ;3.293 ;4 ;41 ;3 ;16.038 ;5.715 ;21.216 
Zug;125.421 ;25.369 ;79.087 ;20.965 ;63.410 ;62.011 ;90.430 ;34.991 ;54.968 ;55.876 ;4.848 ;9.471 ;13 ;225 ;18 ;115.060 ;10.361 ;0 
Ticino;353.709 ;64.769 ;210.041 ;78.899 ;172.505 ;181.204 ;255.122 ;98.587 ;148.100 ;153.870 ;21.396 ;29.849 ;41 ;408 ;43 ;251.864 ;76.000 ;25.845 
1 Break in time series: From 2014 onwards excl. “no indication”;;;;;;;;;;;;;;;;;;
"2 According to FSO typology ""Area with urban character, 2012"", areas as defined on 31.12.2017";;;;;;;;;;;;;;;;;;
Source: Federal Statistical Office, STATPOP;;;;;;;;;;;;;;;;;;
© FSO ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Information: Federal Statistical Office (FSO), Section Demography and Migration, info.dem@bfs.admin.ch, tel. 058 463 67 11;;;;;;;;;;;;;;;;;;

Structure of the permanent resident population by canton, on 31.12.2016;;;;;;;;;;;;;;;;;;T 01.02.03.04
;Total;Age;;;Sex;;Citizenship;;Marital status 1;;;;;;;Typology: Area with urban character 2;;
;;0–19;20–64;65 and over;Male;Female;Swiss;Foreigner;Single;Married;Widowed;Divorced;Unmarried;In a registered partnership;Partnership dissolved;Urban core;Area influenced;Area beyond
;;;;;;;;;;;;;;;;area;by urban cores;urban core
;;;;;;;;;;;;;;;;;;influence
Switzerland;8.419.550 ;1.691.466 ;5.205.025 ;1.523.059 ;4.173.437 ;4.246.113 ;6.318.404 ;2.101.146 ;3.710.349 ;3.585.129 ;406.983 ;699.200 ;597 ;15.324 ;1.730 ;5.282.707 ;1.837.044 ;1.299.799 
Lake Geneva region;1.613.522 ;343.884 ;996.126 ;273.512 ;790.573 ;822.949 ;1.074.042 ;539.480 ;734.396 ;661.014 ;73.218 ;140.988 ;166 ;3.292 ;392 ;1.107.433 ;341.044 ;165.045 
Vaud;784.822 ;172.689 ;483.842 ;128.291 ;385.389 ;399.433 ;520.957 ;263.865 ;361.457 ;319.592 ;34.549 ;67.313 ;59 ;1.639 ;183 ;486.030 ;216.920 ;81.872 
Valais;339.176 ;67.739 ;206.913 ;64.524 ;168.072 ;171.104 ;260.444 ;78.732 ;144.112 ;149.235 ;18.259 ;27.145 ;37 ;325 ;48 ;175.361 ;80.642 ;83.173 
Geneva;489.524 ;103.456 ;305.371 ;80.697 ;237.112 ;252.412 ;292.641 ;196.883 ;228.827 ;192.187 ;20.410 ;46.530 ;70 ;1.328 ;161 ;446.042 ;43.482 ;0 
Espace Mittelland;1.859.557 ;372.064 ;1.131.995 ;355.498 ;917.893 ;941.664 ;1.509.290 ;350.267 ;807.879 ;792.454 ;98.294 ;157.791 ;127 ;2.621 ;340 ;932.607 ;495.907 ;431.043 
Bern;1.026.513 ;195.733 ;622.339 ;208.441 ;503.789 ;522.724 ;861.614 ;164.899 ;443.834 ;438.530 ;56.089 ;86.136 ;58 ;1.610 ;223 ;537.279 ;228.035 ;261.199 
Fribourg;311.914 ;70.816 ;193.603 ;47.495 ;156.334 ;155.580 ;242.087 ;69.827 ;141.835 ;131.932 ;13.448 ;24.230 ;34 ;385 ;43 ;103.226 ;128.666 ;80.022 
Solothurn;269.441 ;51.712 ;166.200 ;51.529 ;134.300 ;135.141 ;210.240 ;59.201 ;112.377 ;118.905 ;14.383 ;23.344 ;15 ;368 ;40 ;162.403 ;69.702 ;37.336 
Neuchâtel;178.567 ;38.110 ;107.176 ;33.281 ;87.312 ;91.255 ;132.878 ;45.689 ;78.415 ;71.940 ;9.830 ;18.152 ;13 ;191 ;26 ;104.666 ;55.652 ;18.249 
Jura;73.122 ;15.693 ;42.677 ;14.752 ;36.158 ;36.964 ;62.471 ;10.651 ;31.418 ;31.147 ;4.544 ;5.929 ;7 ;67 ;8 ;25.033 ;13.852 ;34.237 
Northwest Switzerland;1.142.156 ;222.348 ;706.708 ;213.100 ;566.718 ;575.438 ;845.728 ;296.428 ;486.949 ;501.849 ;56.612 ;94.334 ;66 ;2.118 ;210 ;749.305 ;287.018 ;105.833 
Basel-Stadt;193.070 ;32.634 ;121.641 ;38.795 ;93.212 ;99.858 ;124.026 ;69.044 ;91.119 ;71.579 ;10.856 ;18.773 ;20 ;652 ;66 ;193.070 ;0 ;0 
Basel-Landschaft;285.624 ;54.894 ;169.564 ;61.166 ;140.142 ;145.482 ;221.990 ;63.634 ;114.577 ;131.232 ;15.659 ;23.510 ;10 ;589 ;44 ;194.396 ;84.267 ;6.961 
Aargau;663.462 ;134.820 ;415.503 ;113.139 ;333.364 ;330.098 ;499.712 ;163.750 ;281.253 ;299.038 ;30.097 ;52.051 ;36 ;877 ;100 ;361.839 ;202.751 ;98.872 
Zurich;1.487.969 ;293.045 ;943.505 ;251.419 ;739.814 ;748.155 ;1.092.631 ;395.338 ;681.544 ;610.364 ;63.250 ;127.472 ;93 ;4.623 ;555 ;1.146.031 ;331.802 ;10.136 
Eastern Switzerland;1.162.684 ;233.475 ;716.110 ;213.099 ;582.942 ;579.742 ;898.952 ;263.732 ;495.878 ;513.991 ;58.057 ;93.293 ;53 ;1.273 ;112 ;631.499 ;198.485 ;332.700 
Glarus;40.147 ;7.773 ;24.584 ;7.790 ;20.329 ;19.818 ;30.650 ;9.497 ;16.683 ;17.945 ;2.329 ;3.148 ;2 ;36 ;4 ;30.572 ;0 ;9.575 
Schaffhausen;80.769 ;15.243 ;48.813 ;16.713 ;40.020 ;40.749 ;59.889 ;20.880 ;32.985 ;36.035 ;4.616 ;6.996 ;2 ;125 ;9 ;46.555 ;25.971 ;8.243 
Appenzell A. Rh.;54.954 ;11.145 ;33.434 ;10.375 ;27.778 ;27.176 ;46.044 ;8.910 ;23.260 ;24.154 ;2.851 ;4.604 ;2 ;80 ;3 ;15.730 ;26.328 ;12.896 
Appenzell I. Rh.;16.003 ;3.511 ;9.527 ;2.965 ;8.237 ;7.766 ;14.230 ;1.773 ;7.311 ;6.974 ;851 ;853 ;1 ;11 ;2 ;0 ;0 ;16.003 
St. Gallen;502.552 ;104.274 ;309.354 ;88.924 ;251.526 ;251.026 ;382.829 ;119.723 ;217.268 ;220.661 ;24.299 ;39.721 ;22 ;519 ;44 ;348.830 ;65.680 ;88.042 
Graubünden;197.550 ;36.079 ;121.002 ;40.469 ;98.853 ;98.697 ;160.932 ;36.618 ;83.644 ;87.645 ;10.710 ;15.346 ;13 ;169 ;18 ;64.339 ;24.115 ;109.096 
Thurgau;270.709 ;55.450 ;169.396 ;45.863 ;136.199 ;134.510 ;204.378 ;66.331 ;114.727 ;120.577 ;12.401 ;22.625 ;11 ;333 ;32 ;125.473 ;56.391 ;88.845 
Central Switzerland;799.287 ;161.596 ;499.290 ;138.401 ;402.620 ;396.667 ;642.933 ;156.354 ;355.982 ;350.170 ;36.120 ;55.845 ;53 ;1.022 ;79 ;468.902 ;103.754 ;226.631 
Lucerne;403.397 ;82.723 ;251.486 ;69.188 ;200.897 ;202.500 ;329.264 ;74.133 ;183.772 ;173.311 ;18.609 ;27.087 ;23 ;539 ;47 ;212.163 ;45.057 ;146.177 
Uri;36.145 ;7.377 ;21.652 ;7.116 ;18.427 ;17.718 ;31.850 ;4.295 ;15.449 ;16.834 ;2.001 ;1.818 ;8 ;32 ;2 ;22.132 ;9.815 ;4.198 
Schwyz;155.863 ;30.881 ;98.333 ;26.649 ;79.852 ;76.011 ;123.597 ;32.266 ;67.605 ;69.135 ;6.974 ;11.948 ;5 ;183 ;11 ;94.847 ;32.888 ;28.128 
Obwalden;37.378 ;7.639 ;23.026 ;6.713 ;18.965 ;18.413 ;31.892 ;5.486 ;16.571 ;16.616 ;1.762 ;2.400 ;1 ;27 ;1 ;10.233 ;0 ;27.145 
Nidwalden;42.556 ;7.863 ;26.417 ;8.276 ;21.795 ;20.761 ;36.521 ;6.035 ;18.386 ;18.915 ;1.978 ;3.233 ;4 ;35 ;3 ;15.891 ;5.682 ;20.983 
Zug;123.948 ;25.113 ;78.376 ;20.459 ;62.684 ;61.264 ;89.809 ;34.139 ;54.199 ;55.359 ;4.796 ;9.359 ;12 ;206 ;15 ;113.636 ;10.312 ;0 
Ticino;354.375 ;65.054 ;211.291 ;78.030 ;172.877 ;181.498 ;254.828 ;99.547 ;147.721 ;155.287 ;21.432 ;29.477 ;39 ;375 ;42 ;246.930 ;79.034 ;28.411 
1 Break in time series: From 2014 onwards excl. “no indication”;;;;;;;;;;;;;;;;;;
"2 According to FSO typology ""Area with urban character, 2012"", areas as defined on 31.12.2016";;;;;;;;;;;;;;;;;;
Source: Federal Statistical Office, STATPOP;;;;;;;;;;;;;;;;;;
© FSO ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Information: Federal Statistical Office (FSO), Section Demography and Migration, info.dem@bfs.admin.ch, tel. 058 463 67 11;;;;;;;;;;;;;;;;;;

Structure of the permanent resident population by canton, on 31.12.2015;;;;;;;;;;;;;;;;;;T 01.02.03.04
;Total;Age;;;Sex;;Citizenship;;Marital status 1;;;;;;;Typology: Area with urban character 2;;
;;0–19;20–64;65 and over;Male;Female;Swiss;Foreigner;Single;Married;Widowed;Divorced;Unmarried;In a registered partnership;Partnership dissolved;Urban core;Area influenced;Area beyond
;;;;;;;;;;;;;;;;area;by urban cores;urban core
;;;;;;;;;;;;;;;;;;influence
Switzerland;8.327.126 ;1.675.503 ;5.156.571 ;1.495.052 ;4.121.471 ;4.205.655 ;6.278.459 ;2.048.667 ;3.650.651 ;3.568.702 ;407.151 ;684.114 ;563 ;14.306 ;1.446 ;5.224.160 ;1.812.583 ;1.290.383 
Lake Geneva region;1.593.839 ;340.411 ;984.543 ;268.885 ;779.927 ;813.912 ;1.059.872 ;533.967 ;720.102 ;659.175 ;73.197 ;137.698 ;146 ;3.139 ;331 ;1.094.617 ;335.853 ;163.369 
Vaud;773.407 ;170.633 ;476.817 ;125.957 ;379.074 ;394.333 ;513.739 ;259.668 ;353.300 ;318.102 ;34.604 ;65.634 ;51 ;1.533 ;159 ;479.658 ;213.338 ;80.411 
Valais;335.696 ;67.347 ;205.413 ;62.936 ;166.426 ;169.270 ;258.612 ;77.084 ;142.216 ;148.810 ;18.126 ;26.148 ;33 ;312 ;35 ;173.187 ;79.551 ;82.958 
Geneva;484.736 ;102.431 ;302.313 ;79.992 ;234.427 ;250.309 ;287.521 ;197.215 ;224.586 ;192.263 ;20.467 ;45.916 ;62 ;1.294 ;137 ;441.772 ;42.964 ;0 
Espace Mittelland;1.842.251 ;369.495 ;1.123.767 ;348.989 ;907.412 ;934.839 ;1.504.471 ;337.780 ;795.493 ;791.151 ;98.791 ;153.932 ;124 ;2.446 ;274 ;922.226 ;490.336 ;429.689 
Bern;1.017.483 ;194.111 ;618.383 ;204.989 ;498.258 ;519.225 ;860.017 ;157.466 ;437.186 ;437.850 ;56.477 ;84.190 ;55 ;1.522 ;177 ;531.765 ;225.656 ;260.062 
Fribourg;307.461 ;70.214 ;191.105 ;46.142 ;153.729 ;153.732 ;240.182 ;67.279 ;138.940 ;131.243 ;13.395 ;23.452 ;33 ;349 ;40 ;100.331 ;126.895 ;80.235 
Solothurn;266.418 ;51.266 ;164.739 ;50.413 ;132.439 ;133.979 ;209.355 ;57.063 ;110.681 ;118.113 ;14.493 ;22.736 ;15 ;346 ;31 ;160.616 ;68.851 ;36.951 
Neuchâtel;178.107 ;38.117 ;107.066 ;32.924 ;87.021 ;91.086 ;132.556 ;45.551 ;77.637 ;72.597 ;9.888 ;17.781 ;13 ;169 ;20 ;104.592 ;55.172 ;18.343 
Jura;72.782 ;15.787 ;42.474 ;14.521 ;35.965 ;36.817 ;62.361 ;10.421 ;31.049 ;31.348 ;4.538 ;5.773 ;8 ;60 ;6 ;24.922 ;13.762 ;34.098 
Northwest Switzerland;1.128.723 ;219.781 ;699.694 ;209.248 ;559.109 ;569.614 ;841.131 ;287.592 ;478.839 ;499.021 ;56.411 ;92.221 ;62 ;1.980 ;172 ;740.960 ;283.308 ;104.455 
Basel-Stadt;191.817 ;32.205 ;120.778 ;38.834 ;92.514 ;99.303 ;124.365 ;67.452 ;89.611 ;71.876 ;11.013 ;18.618 ;22 ;605 ;66 ;191.817 ;0 ;0 
Basel-Landschaft;283.231 ;54.436 ;168.679 ;60.116 ;138.808 ;144.423 ;221.489 ;61.742 ;113.105 ;131.033 ;15.535 ;22.967 ;7 ;547 ;31 ;192.488 ;83.710 ;7.033 
Aargau;653.675 ;133.140 ;410.237 ;110.298 ;327.787 ;325.888 ;495.277 ;158.398 ;276.123 ;296.112 ;29.863 ;50.636 ;33 ;828 ;75 ;356.655 ;199.598 ;97.422 
Zurich;1.466.424 ;287.660 ;931.178 ;247.586 ;728.517 ;737.907 ;1.083.372 ;383.052 ;666.873 ;606.119 ;63.094 ;125.457 ;82 ;4.277 ;473 ;1.129.596 ;326.788 ;10.040 
Eastern Switzerland;1.153.485 ;232.358 ;712.657 ;208.470 ;577.461 ;576.024 ;895.674 ;257.811 ;491.555 ;510.952 ;58.196 ;91.427 ;52 ;1.188 ;93 ;627.789 ;195.400 ;330.296 
Glarus;40.028 ;7.762 ;24.638 ;7.628 ;20.309 ;19.719 ;30.721 ;9.307 ;16.607 ;17.981 ;2.337 ;3.061 ;3 ;34 ;5 ;30.367 ;0 ;9.661 
Schaffhausen;79.836 ;15.032 ;48.401 ;16.403 ;39.391 ;40.445 ;59.664 ;20.172 ;32.404 ;35.863 ;4.637 ;6.810 ;2 ;109 ;10 ;46.264 ;25.529 ;8.043 
Appenzell A. Rh.;54.543 ;11.103 ;33.196 ;10.244 ;27.506 ;27.037 ;45.985 ;8.558 ;23.055 ;24.037 ;2.874 ;4.493 ;2 ;80 ;2 ;15.721 ;26.110 ;12.712 
Appenzell I. Rh.;15.974 ;3.536 ;9.514 ;2.924 ;8.196 ;7.778 ;14.240 ;1.734 ;7.338 ;6.962 ;851 ;811 ;1 ;9 ;2 ;0 ;0 ;15.974 
St. Gallen;499.065 ;103.693 ;308.228 ;87.144 ;249.392 ;249.673 ;381.712 ;117.353 ;215.628 ;219.430 ;24.353 ;39.106 ;18 ;482 ;34 ;347.036 ;64.874 ;87.155 
Graubünden;196.610 ;36.141 ;121.035 ;39.434 ;98.212 ;98.398 ;160.689 ;35.921 ;83.298 ;87.457 ;10.723 ;14.935 ;14 ;166 ;13 ;64.034 ;23.551 ;109.025 
Thurgau;267.429 ;55.091 ;167.645 ;44.693 ;134.455 ;132.974 ;202.663 ;64.766 ;113.225 ;119.222 ;12.421 ;22.211 ;12 ;308 ;27 ;124.367 ;55.336 ;87.726 
Central Switzerland;790.458 ;160.875 ;494.440 ;135.143 ;397.579 ;392.879 ;639.651 ;150.807 ;351.750 ;347.139 ;36.045 ;54.456 ;59 ;932 ;65 ;463.627 ;102.336 ;224.495 
Lucerne;398.762 ;82.391 ;248.701 ;67.670 ;198.192 ;200.570 ;327.503 ;71.259 ;181.455 ;171.654 ;18.613 ;26.480 ;28 ;490 ;34 ;210.096 ;44.133 ;144.533 
Uri;35.973 ;7.385 ;21.576 ;7.012 ;18.348 ;17.625 ;31.840 ;4.133 ;15.323 ;16.844 ;2.027 ;1.742 ;7 ;27 ;3 ;21.833 ;9.901 ;4.239 
Schwyz;154.093 ;30.831 ;97.333 ;25.929 ;78.825 ;75.268 ;122.921 ;31.172 ;66.828 ;68.527 ;6.917 ;11.630 ;7 ;174 ;8 ;93.739 ;32.480 ;27.874 
Obwalden;37.076 ;7.655 ;22.935 ;6.486 ;18.801 ;18.275 ;31.716 ;5.360 ;16.432 ;16.538 ;1.771 ;2.309 ;1 ;24 ;1 ;10.229 ;0 ;26.847 
Nidwalden;42.420 ;7.903 ;26.463 ;8.054 ;21.705 ;20.715 ;36.514 ;5.906 ;18.392 ;18.874 ;1.946 ;3.171 ;4 ;31 ;1 ;15.773 ;5.645 ;21.002 
Zug;122.134 ;24.710 ;77.432 ;19.992 ;61.708 ;60.426 ;89.157 ;32.977 ;53.320 ;54.702 ;4.771 ;9.124 ;12 ;186 ;18 ;111.957 ;10.177 ;0 
Ticino;351.946 ;64.923 ;210.292 ;76.731 ;171.466 ;180.480 ;254.288 ;97.658 ;146.039 ;155.145 ;21.417 ;28.923 ;38 ;344 ;38 ;245.345 ;78.562 ;28.039 
1 Break in time series: From 2014 onwards excl. “no indication”;;;;;;;;;;;;;;;;;;
"2 According to FSO typology ""Area with urban character, 2012"", areas as defined on 31.12.2015";;;;;;;;;;;;;;;;;;
Source: Federal Statistical Office, STATPOP;;;;;;;;;;;;;;;;;;
© FSO ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Information: Federal Statistical Office (FSO), Section Demography and Migration, info.dem@bfs.admin.ch, tel. 058 463 67 11;;;;;;;;;;;;;;;;;;

Structure of the permanent resident population by canton, on 31.12.2014;;;;;;;;;;;;;;;;;;T 01.02.03.04
;Total;Age;;;Sex;;Citizenship;;Marital status 1;;;;;;;Typology: Area with urban character 2;;
;;0–19;20–64;65 and over;Male;Female;Swiss;Foreigner;Single;Married;Widowed;Divorced;Unmarried;In a registered partnership;Partnership dissolved;Urban core;Area influenced;Area beyond
;;;;;;;;;;;;;;;;area;by urban cores;urban core
;;;;;;;;;;;;;;;;;;influence
Switzerland;8.237.666 ;1.663.752 ;5.108.349 ;1.465.565 ;4.073.880 ;4.163.786 ;6.239.207 ;1.998.459 ;3.593.986 ;3.551.926 ;407.583 ;669.047 ;549 ;13.282 ;1.132 ;5.168.376 ;1.790.738 ;1.278.552 
Lake Geneva region;1.570.594 ;336.857 ;970.056 ;263.681 ;768.192 ;802.402 ;1.047.506 ;523.088 ;703.912 ;656.094 ;73.255 ;134.004 ;148 ;2.875 ;259 ;1.079.078 ;329.896 ;161.620 
Vaud;761.446 ;168.899 ;468.935 ;123.612 ;373.187 ;388.259 ;509.124 ;252.322 ;344.572 ;316.709 ;34.765 ;63.790 ;50 ;1.408 ;126 ;473.240 ;209.112 ;79.094 
Valais;331.763 ;67.069 ;203.445 ;61.249 ;164.399 ;167.364 ;256.485 ;75.278 ;140.038 ;148.109 ;18.051 ;25.211 ;37 ;281 ;22 ;170.951 ;78.286 ;82.526 
Geneva;477.385 ;100.889 ;297.676 ;78.820 ;230.606 ;246.779 ;281.897 ;195.488 ;219.302 ;191.276 ;20.439 ;45.003 ;61 ;1.186 ;111 ;434.887 ;42.498 ;0 
Espace Mittelland;1.826.251 ;368.125 ;1.115.781 ;342.345 ;898.913 ;927.338 ;1.499.972 ;326.279 ;784.062 ;790.017 ;99.053 ;150.470 ;117 ;2.287 ;212 ;914.434 ;485.544 ;426.273 
Bern;1.009.418 ;193.024 ;615.175 ;201.219 ;494.008 ;515.410 ;857.915 ;151.503 ;431.220 ;437.492 ;56.698 ;82.380 ;56 ;1.408 ;143 ;527.253 ;223.515 ;258.650 
Fribourg;303.377 ;69.985 ;188.624 ;44.768 ;151.587 ;151.790 ;238.449 ;64.928 ;136.627 ;130.250 ;13.394 ;22.706 ;29 ;331 ;32 ;99.070 ;125.468 ;78.839 
Solothurn;263.719 ;50.998 ;163.222 ;49.499 ;131.036 ;132.683 ;208.749 ;54.970 ;108.942 ;117.721 ;14.420 ;22.280 ;17 ;317 ;20 ;158.965 ;68.210 ;36.544 
Neuchâtel;177.327 ;38.257 ;106.437 ;32.633 ;86.540 ;90.787 ;132.575 ;44.752 ;76.527 ;73.138 ;9.985 ;17.490 ;10 ;166 ;11 ;104.447 ;54.655 ;18.225 
Jura;72.410 ;15.861 ;42.323 ;14.226 ;35.742 ;36.668 ;62.284 ;10.126 ;30.746 ;31.416 ;4.556 ;5.614 ;5 ;65 ;6 ;24.699 ;13.696 ;34.015 
Northwest Switzerland;1.117.158 ;217.881 ;694.046 ;205.231 ;552.700 ;564.458 ;836.996 ;280.162 ;471.936 ;496.388 ;56.562 ;90.231 ;63 ;1.821 ;132 ;734.091 ;279.942 ;103.125 
Basel-Stadt;190.580 ;31.708 ;120.006 ;38.866 ;91.760 ;98.820 ;124.274 ;66.306 ;88.082 ;72.227 ;11.220 ;18.400 ;26 ;564 ;55 ;190.580 ;0 ;0 
Basel-Landschaft;281.301 ;54.274 ;168.014 ;59.013 ;137.719 ;143.582 ;221.378 ;59.923 ;111.940 ;130.680 ;15.530 ;22.590 ;8 ;516 ;30 ;191.248 ;82.977 ;7.076 
Aargau;645.277 ;131.899 ;406.026 ;107.352 ;323.221 ;322.056 ;491.344 ;153.933 ;271.914 ;293.481 ;29.812 ;49.241 ;29 ;741 ;47 ;352.263 ;196.965 ;96.049 
Zurich;1.446.354 ;283.522 ;919.491 ;243.341 ;717.702 ;728.652 ;1.073.065 ;373.289 ;653.715 ;601.366 ;63.180 ;123.533 ;87 ;4.065 ;376 ;1.113.403 ;323.184 ;9.767 
Eastern Switzerland;1.144.572 ;231.934 ;709.088 ;203.550 ;572.509 ;572.063 ;892.118 ;252.454 ;487.638 ;508.237 ;58.193 ;89.296 ;50 ;1.080 ;69 ;623.502 ;193.011 ;328.059 
Glarus;39.794 ;7.739 ;24.572 ;7.483 ;20.136 ;19.658 ;30.798 ;8.996 ;16.483 ;17.954 ;2.346 ;2.969 ;3 ;37 ;2 ;30.033 ;0 ;9.761 
Schaffhausen;79.417 ;15.049 ;48.304 ;16.064 ;39.111 ;40.306 ;59.542 ;19.875 ;32.161 ;35.823 ;4.629 ;6.684 ;1 ;115 ;3 ;46.258 ;25.113 ;8.046 
Appenzell A. Rh.;54.064 ;11.061 ;32.947 ;10.056 ;27.271 ;26.793 ;45.763 ;8.301 ;22.884 ;23.857 ;2.892 ;4.364 ;2 ;63 ;2 ;15.512 ;25.925 ;12.627 
Appenzell I. Rh.;15.854 ;3.560 ;9.429 ;2.865 ;8.121 ;7.733 ;14.169 ;1.685 ;7.314 ;6.888 ;832 ;811 ;1 ;6 ;2 ;0 ;0 ;15.854 
St. Gallen;495.824 ;103.606 ;306.925 ;85.293 ;247.516 ;248.308 ;380.500 ;115.324 ;213.956 ;218.680 ;24.388 ;38.323 ;19 ;427 ;27 ;345.076 ;64.295 ;86.453 
Graubünden;195.886 ;36.216 ;121.197 ;38.473 ;97.752 ;98.134 ;160.497 ;35.389 ;83.175 ;87.244 ;10.767 ;14.518 ;14 ;157 ;8 ;63.964 ;23.158 ;108.764 
Thurgau;263.733 ;54.703 ;165.714 ;43.316 ;132.602 ;131.131 ;200.849 ;62.884 ;111.665 ;117.791 ;12.339 ;21.627 ;10 ;275 ;25 ;122.659 ;54.520 ;86.554 
Central Switzerland;782.374 ;160.543 ;489.963 ;131.868 ;393.323 ;389.051 ;635.917 ;146.457 ;348.096 ;344.454 ;35.929 ;52.947 ;50 ;838 ;47 ;459.312 ;101.447 ;221.615 
Lucerne;394.604 ;82.193 ;246.105 ;66.306 ;195.965 ;198.639 ;325.336 ;69.268 ;179.461 ;170.366 ;18.560 ;25.734 ;23 ;426 ;27 ;208.796 ;43.606 ;142.202 
Uri;36.008 ;7.432 ;21.672 ;6.904 ;18.399 ;17.609 ;31.864 ;4.144 ;15.352 ;16.874 ;2.034 ;1.709 ;7 ;26 ;3 ;21.744 ;9.996 ;4.268 
Schwyz;152.759 ;30.943 ;96.701 ;25.115 ;78.152 ;74.607 ;122.299 ;30.460 ;66.306 ;68.053 ;6.899 ;11.326 ;7 ;159 ;7 ;92.786 ;32.230 ;27.743 
Obwalden;36.834 ;7.697 ;22.853 ;6.284 ;18.693 ;18.141 ;31.609 ;5.225 ;16.330 ;16.465 ;1.777 ;2.236 ;0 ;24 ;1 ;10.232 ;0 ;26.602 
Nidwalden;42.080 ;7.859 ;26.407 ;7.814 ;21.481 ;20.599 ;36.363 ;5.717 ;18.201 ;18.825 ;1.935 ;3.097 ;4 ;18 ;0 ;15.669 ;5.611 ;20.800 
Zug;120.089 ;24.419 ;76.225 ;19.445 ;60.633 ;59.456 ;88.446 ;31.643 ;52.446 ;53.871 ;4.724 ;8.845 ;9 ;185 ;9 ;110.085 ;10.004 ;0 
Ticino;350.363 ;64.890 ;209.924 ;75.549 ;170.541 ;179.822 ;253.633 ;96.730 ;144.627 ;155.370 ;21.411 ;28.566 ;34 ;316 ;37 ;244.556 ;77.714 ;28.093 
1 Break in time series: From 2014 onwards excl. “no indication”;;;;;;;;;;;;;;;;;;
"2 According to FSO typology ""Area with urban character, 2012"", areas as defined on 31.12.2014";;;;;;;;;;;;;;;;;;
Source: Federal Statistical Office, STATPOP;;;;;;;;;;;;;;;;;;
© FSO ;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Information: Federal Statistical Office (FSO), Section Demography and Migration, info.dem@bfs.admin.ch, tel. 058 463 67 11;;;;;;;;;;;;;;;;;;

Structure of the permanent resident population by canton, on 31.12.2013;;;;;;;;;;;;;;;;;;T 01.02.03.04
;Total;Age;;;Sex;;Citizenship;;Marital status;;;;;;;Typology: Area with urban character 1;;
;;0–19;20–64;65 and over;Male;Female;Swiss;Foreigner;Single;Married;Widowed;Divorced;Unmarried;In a registered partnership;Partnership dissolved;Urban core;Area influenced;Area beyond
;;;;;;;;;;;;;;;;area;by urban cores;urban core
;;;;;;;;;;;;;;;;;;influence
Switzerland;8.139.631 ;1.653.511 ;5.053.373 ;1.432.747 ;4.022.091 ;4.117.540 ;6.202.184 ;1.937.447 ;3.537.837 ;3.527.929 ;407.667 ;652.608 ;528 ;12.174 ;888 ;5.106.473 ;1.767.144 ;1.266.014 
Lake Geneva region;1.545.817 ;333.823 ;954.579 ;257.415 ;755.704 ;790.113 ;1.037.401 ;508.416 ;688.681 ;650.724 ;73.017 ;130.406 ;134 ;2.658 ;197 ;1.063.222 ;323.493 ;159.102 
Vaud;749.373 ;167.283 ;461.284 ;120.806 ;366.766 ;382.607 ;503.493 ;245.880 ;336.758 ;314.154 ;34.782 ;62.238 ;44 ;1.306 ;91 ;467.322 ;204.856 ;77.195 
Valais;327.011 ;66.744 ;201.026 ;59.241 ;161.991 ;165.020 ;254.273 ;72.738 ;137.702 ;146.860 ;17.922 ;24.212 ;31 ;269 ;15 ;168.248 ;76.856 ;81.907 
Geneva;469.433 ;99.796 ;292.269 ;77.368 ;226.947 ;242.486 ;279.635 ;189.798 ;214.221 ;189.710 ;20.313 ;43.956 ;59 ;1.083 ;91 ;427.652 ;41.781 ;0 
Espace Mittelland;1.808.480 ;367.067 ;1.106.301 ;335.112 ;889.319 ;919.161 ;1.494.209 ;314.271 ;773.418 ;786.890 ;99.451 ;146.344 ;115 ;2.090 ;172 ;905.581 ;480.670 ;422.229 
Bern;1.001.281 ;192.610 ;611.526 ;197.145 ;489.514 ;511.767 ;855.740 ;145.541 ;426.436 ;436.090 ;57.009 ;80.308 ;55 ;1.265 ;118 ;522.456 ;221.797 ;257.028 
Fribourg;297.622 ;69.260 ;184.880 ;43.482 ;148.685 ;148.937 ;235.799 ;61.823 ;133.429 ;128.639 ;13.391 ;21.805 ;28 ;307 ;23 ;96.968 ;123.462 ;77.192 
