code;de;fr;it;en
D.1.7.M;HD Pneumonie ohne Tumor oder Mukoviszidose, Alter 1-19, Direktaufnahmen, Mortalität - SE;DP pneumonie sans tumeur ni mucoviscidose, âge 1-19, admissions directes, mortalité - SE;DP polmonite senza tumore o mucoviscidosi, età 1-19, ammissioni dirette, mortalità - SE;PD pneumonia without tumor or cystic fibrosis, age 1-19, direct admissions, mortality - SE
D.1.8.M;HD Pneumonie ohne Tumor oder Mukoviszidose, Alter >19, Direktaufnahmen, Mortalität;DP pneumonie sans tumeur ni mucoviscidose, âge >19, admissions directes, mortalité;DP polmonite senza tumore o mucoviscidosi, età >19, ammissioni dirette, mortalità;PD pneumonia without tumor or cystic fibrosis, age >19, direct admissions, mortality
D.1.9.M;HD Pneumonie ohne Tumor oder Mukoviszidose, Alter 20-44, Direktaufnahmen, Mortalität - SE;DP pneumonie sans tumeur ni mucoviscidose, âge 20-44, admissions directes, mortalité - SE;DP polmonite senza tumore o mucoviscidosi, età 20-44, ammissioni dirette, mortalità - SE;PD pneumonia without tumor or cystic fibrosis, age 20-44, direct admissions, mortality - SE
D.2.1.M;HD COPD ohne Tumor (Alter >19), Mortalität;DP BPCO sans tumeur (âge >19), mortalité;DP BPCO senza tumore (età >19), mortalità;PD COPD without tumor (age >19), mortality
D.2.2.M;HD COPD ohne Tumor mit FEV1 <35% (Alter >19), Mortalität;DP BPCO sans tumeur avec VEF1 <35 % (âge >19), mortalité;DP BPCO senza tumore con VEMS1 <35 % (età >19), mortalità;PD COPD without tumor with FEV1 <35% (age >19), mortality
D.2.3.M;HD COPD ohne Tumor mit FEV1 35-49% (Alter >19), Mortalität;DP BPCO sans tumeur avec VEF1 35-49 % (âge >19), mortalité;DP BPCO senza tumore con VEMS1 35-49 % (età >19), mortalità;PD COPD without tumor with FEV1 35-49% (age >19), mortality
D.2.4.M;HD COPD ohne Tumor mit FEV1 50-69% (Alter >19), Mortalität;DP BPCO sans tumeur avec VEF1 50-69 % (âge >19), mortalité;DP BPCO senza tumore con VEMS1 50-69 % (età >19), mortalità;PD COPD without tumor with FEV1 50-69% (age >19), mortality
D.2.5.M;HD COPD ohne Tumor mit FEV1 >69% (Alter >19), Mortalität;DP BPCO sans tumeur avec VEF1 >69 % (âge >19), mortalité;DP BPCO senza tumore con VEMS1 >69 % (età >19), mortalità;PD COPD without tumor with FEV1 >69% (age >19), mortality
D.2.6.M;HD COPD ohne Tumor mit FEV1 n.n.bez. (Alter >19), Mortalität;DP BPCO sans tumeur avec VEF1 non précisé (âge >19), mortalité;DP BPCO senza tumore con VEMS1 NAS (età >19), mortalità;PD COPD without tumor with FEV1 not specified (age >19), mortality
D.4.1.M;Resektionen von Lunge oder Bronchien insgesamt, Mortalität;Total des résections pulmonaires ou bronchiques, mortalité;Resezioni di polmone o bronchi, totale, mortalità;Total lung or bronchial resections, mortality
D.4.2.M;Pneumonektomien bei Bronchialkarzinom, Mortalität;Pneumonectomie en cas de carcinome bronchique, mortalité;Pneumonectomia in caso di carcinoma bronchiale, mortalità;Pneumonectomy for bronchial carcinoma, mortality
D.4.3.M;Teilresektion der Lunge bei Bronchialkarzinom, Mortalität;Résections pulmonaires partielles en cas de carcinome bronchique, mortalité;Resezione parziale del polmone in caso di carcinoma bronchiale, mortalità;Partial lung resections for bronchial carcinoma, mortality
D.4.5.M;Pleurektomie, Mortalität;Pleurectomie, mortalité;Pleurectomia, mortalità;Pleurectomy, mortality
E.1.1.M;Cholezystektomie bei Gallensteinen und Cholezystitis, ohne Tumor, Mortalität - SE;Cholécystectomie en cas de calculs biliaires et cholécystite, sans tumeur, mortalité - SE;Colecistectomia in caso di calcoli biliari e colecistite, senza tumore, mortalità - SE;Cholecystectomy for gallstones and cholecystitis, without tumor, mortality - SE
E.2.1.M;Herniotomie ohne OP am Darm, Mortalität - SE;Herniotomie sans OP de l'intestin, mortalité - SE;Erniotomia senza OP all'intestino, mortalità - SE;Herniotomy without intestinal surgery, mortality - SE
E.2.2.M;Herniotomie mit OP am Darm, Mortalität;Herniotomie avec OP de l'intestin, mortalité;Erniotomia con OP all'intestino, mortalità;Herniotomy with intestinal surgery, mortality
E.4.1.M;Kolorektale Resektionen insgesamt, Mortalität;Total des résections colorectales, mortalité;Resezioni colorettali, totale, mortalità;Total colorectal resections, mortality
E.4.13.M;Kolorektale Resektionen bei Colitis ulcerosa oder Morbus Crohn, Mortalität;Résections colorectales pour colite ulcéreuse ou maladie de Crohn, mortalité;Resezione colorettale per colite ulcerosa o morbo di Crohn, mortalità;Colorectal resections for ulcerative colitis or Crohn's disease, mortality
E.4.15.M;Kolorektale Resektion ohne tiefe Rektumresektionen bei Karzinom, Divertikel, Colitis oder Crohn mit Anastomoseninsuffizienz, Mortalität;Résection colorectale sans résections profondes du rectum pour carcinome, diverticule, colite ou Crohn avec insuffisance anastomosique, mortalité;Resezione colorettale senza resezioni basse del retto per carcinoma, diverticolo, colite o Crohn con deiscenza anastomotica, mortalità;Colorectal resection without deep rectal resections for carcinoma, diverticulum, colitis or Crohn's disease with anastomotic insufficiency, mortality
E.4.16.M;Tiefe anteriore Rektumresektion bei Karzinom, Divertikel, Colitis oder Crohn mit Anastomoseninsuffizienz, Mortalität;Résection antérieure profonde du rectum pour carcinome, diverticule, colite ou Crohn avec insuffisance anastomosique, mortalité;Resezione anteriore bassa del retto per carcinoma, diverticolo, colite o Crohn con deiscenza anastomotica, mortalità;Low anterior rectal resection for carcinoma, diverticulum, colitis or Crohn's disease with anastomotic insufficiency, mortality
E.4.2.M;Kolonresektionen bei kolorektalem Karzinom ohne komplizierende Diagnose, Mortalität;Résections du côlon pour cancer colorectal sans diagnostic compliquant, mortalité;Resezioni del colon per carcinoma colorettale senza diagnosi complicante, mortalità;Colon resections for colorectal cancer without complicating diagnosis, mortality
E.4.2.MrG;Kolonresektionen bei kolorektalem Karzinom ohne komplizierende Diagnose, Mortalität;Résections du côlon pour cancer colorectal sans diagnostic compliquant, mortalité;Resezioni del colon per carcinoma colorettale senza diagnosi complicante, mortalità;Colon resections for colorectal cancer without complicating diagnosis, mortality
E.4.3.M;Kolonresektionen bei kolorektalem Karzinom mit komplizierender Diagnose, Mortalität;Résections du côlon pour cancer colorectal avec diagnostic compliquant, mortalité;Resezioni del colon per carcinoma colorettale con diagnosi complicante, mortalità;Colon resections for colorectal cancer with complicating diagnosis, mortality
E.4.4.M;Rektumresektionen bei kolorektalem Karzinom, Mortalität;Résections du rectum pour cancer colorectal, mortalité;Resezioni del retto per carcinoma colorettale, mortalità;Rectal resections for colorectal cancer, mortality
E.4.5.M;Kolorektale Resektionen bei Divertikel ohne Abszess/Perforation, Mortalität - SE;Résections colorectales pour diverticule sans abcès/perforation, mortalité - SE;Resezioni colorettali per diverticolo senza ascesso/perforazione, mortalità - SE;Colorectal resections for diverticulum without abscess/perforation, mortality - SE
E.4.6.M;Kolorektale Resektionen bei Divertikel mit Abszess/Perforation, Mortalität;Résections colorectales pour diverticule avec abcès/perforation, mortalité;Resezioni colorettali per diverticolo con ascesso/perforazione, mortalità;Colorectal resections for diverticulum with abscess/perforation, mortality
E.4.7.M;Kolorektale Resektionen bei Darmischämie, Mortalität;Résections colorectales pour ischémie intestinale, mortalité;Resezione colorettale per ischemia intestinale, mortalità;Colorectal resections for intestinal ischemia, mortality
E.4.8.M;Kolorektale Resektionen bei anderer Diagnose, Mortalität;Résections du côlon pour autre diagnostic, mortalité;Resezioni colorettali per altra diagnosi, mortalità;Colon resections for other diagnosis, mortality
E.5.2.M;Magenresektionen ohne komplexe Eingriffe am Ösophagus bei Magenkarzinom, Mortalität;Gastrectomies sans interventions complexes sur l'œsophage en cas de cancer de l'estomac, mortalité;Resezioni gastriche senza interventi complessi all'esofago in caso di carcinoma allo stomaco, mortalità;Gastrectomies without complex esophageal procedures for stomach cancer, mortality
E.5.3.M;Magenresektionen mit komplexem Eingriff am Ösophagus, Mortalität;Gastrectomies avec OP complexe de l'œsophage, mortalité;Resezioni gastriche con complesso OP all'esofago, mortalità;Gastrectomies with complex esophageal surgery, mortality
E.5.5.M;HD Ulcus von Magen, Duodenum oder Jejunum, ohne Tumor, Mortalität;DP ulcère de l'estomac, du duodénum ou du jéjunum, sans tumeur, mortalité;DP ulcera gastrica, duodenale o digiunale, senza tumore, mortalità;PD gastric, duodenal or jejunal ulcer, without tumor, mortality
E.5.6.M;Magenresektionen ohne komplexe Eingriffe am Ösophagus, ohne Magenkarzinom, Mortalität;Gastrectomies sans interventions complexes sur l'œsophage, sans cancer de l'estomac, mortalité;Resezioni gastriche senza interventi complessi all'esofago, senza carcinoma allo stomaco, mortalità;Gastrectomies without complex esophageal procedures, without stomach cancer, mortality
E.6.1.M;Komplexe Eingriffe am Ösophagus, Mortalität;Interventions complexes de l'œsophage, mortalité;Interventi complessi all'esofago, mortalità;Complex procedures on the esophagus, mortality
E.7.1.M;Eingriffe am Pankreas insgesamt ohne Transplantation (Alter >19), Mortalität;Total des interventions sur le pancréas sans transplantation (âge >19), mortalité;Interventi al pancreas senza trapianto (età >19), totale, mortalità;Total pancreatic procedures without transplantation (age >19), mortality
E.7.3.M;Pankreasresektionen bei bösartigen Neubildungen des Pankreas, inkl. IPMN (Alter >19), Mortalität;Résections du pancréas en cas de tumeurs malignes du pancréas, TIPMP inclus (âge >19), mortalité;Resezione del pancreas in caso di tumori maligni del pancreas, IPMN inclusi (età >19), mortalità;Pancreatic resections for malignant neoplasms of the pancreas, including IPMN (age >19), mortality
E.7.4.M;Andere lokale/kleinere Eingriffe am Pankreas (Alter >19), Mortalität;Autres interventions locales/plus petites sur le pancréas (âge >19), mortalité;Altri interventi chirurgici locali/più lievi al pancreas (età >19), mortalità;Other local/minor procedures on the pancreas (age >19), mortality
E.7.5.M;Anatomische Leberresektionen (Alter >19), Mortalität;Résections anatomiques du foie (âge >19), mortalité;Resezioni anatomiche del fegato (età >19), mortalità;Anatomical liver resections (age >19), mortality
E.7.6.M;Anatomische Leberresektionen von 4 und mehr Lebersegmenten (Alter >19), Mortalität;Résections anatomiques du foie avec quatre segments et plus (âge >19), mortalité;Resezioni anatomiche di 4 e più segmenti del fegato (età >19), mortalità;Anatomical liver resections of four or more liver segments (age >19), mortality
E.8.1.M;Bariatrische Chirurgie, Mortalität - SE;Chirurgie bariatrique, mortalité - SE;Chirurgia bariatrica, mortalità - SE;Bariatric surgery, mortality - SE
F.1.10.M;Perkutane extrakranielle Stentimplantation A. carotis bei HD Stenose (Alter >19), Mortalität - SE;Implantation percutanée de stents dans l'artère carotide en cas de DP sténose (âge >19), mortalité - SE;Impianto percutaneo extracranico di stent nella carotide in caso di DP stenosi (età >19), mortalità - SE;Percutaneous stent implantation in the carotid artery in cases with PD stenosis (age >19), mortality - SE
F.1.11.M;Perkutane extrakranielle Stentimplantation A. carotis bei anderer HD (Alter >19), Mortalität;Implantation percutanée de stents dans l'artère carotide en cas d'autre DP (âge >19), mortalité;Impianto percutaneo extracranico di stent nella carotide in caso di altra DP (età >19), mortalità;Percutaneous stent implantation in the carotid artery in cases with other PD (age >19), mortality
F.1.12.M;Perkutane extrakranielle Stentimplantation A. vertebralis (Alter >19), Mortalität;Implantation percutanée de stents dans l'artère vertébrale (âge >19), mortalité;Impianto percutaneo di stent nell'arteria vertebrale (età >19), mortalità;Percutaneous stent implantation in the vertebral artery (age >19), mortality
F.1.13.M;Weitere extrakranielle Gefäss­OP bei OP an Herz, Aorta, Beinarterien, bei Trauma oder bei HNO-Malignom (Alter >19), Mortalität;Autres OP des vaisseaux extra­crâniens en cas d'OP du cœur, de l'aorte, des artères des jambes, de traumatisme ou de tumeurs malignes ORL (âge >19), mortalité;Altre OP ai vasi extracranici in caso di OP al cuore, all'aorta, alle arterie delle gambe, di trauma o di tumori maligni ORL (età >19), mortalità;Other extracranial vascular surgery in cases with heart, aortic or leg artery surgery, trauma or ENT malignancy (age >19), mortality
F.1.6.M;Extrakranielle Gefäss­OP A. carotis (Alter >19), Mortalität;OP des vaisseaux extra­crâniens sur l'artère carotide (âge >19), mortalité;OP ai vasi extracranici all'arteria carotide (età >19), mortalità;Extracranial vascular surgery on the carotid artery (age >19), mortality
F.1.7.M;Extrakranielle Gefäss­OP A. vertebralis (Alter >19), Mortalität - SE;OP des vaisseaux extra­crâniens sur l'artère vertébrale (âge >19), mortalité - SE;OP ai vasi extracranici all'arteria vertebrale (età >19), mortalità - SE;Extracranial vascular surgery on the vertebral artery (age >19), mortality - SE
F.1.8.M;Perkutane extrakranielle Stentimplantation A. carotis (Alter >19), Mortalität;Implantation percutanée de stents dans l'artère carotide (âge >19), mortalité;Impianto percutaneo extracranico di stent nella carotide (età >19), mortalità;Percutaneous stent implantation in the carotid artery (age >19), mortality
F.1.9.M;Perkutane extrakranielle Stentimplantation A. carotis bei HD TIA oder Hirninfarkt (Alter >19), Mortalität;Implantation percutanée de stents dans l'artère carotide en cas de DP AIT ou d'infarctus cérébral (âge >19), mortalité;Impianto percutaneo extracranico di stent nella carotide in caso di DP TIA o infarto cerebrale (età >19), mortalità;Percutaneous stent implantation in the carotid artery in cases with PD TIA or cerebral infarction (age >19), mortality
F.2.10.M;Resektion/Ersatz der thorakalen/thorakoabdominalen Aorta bei Aneurysma, nicht rupturiert, ohne OP am Herzen, Mortalität;Résection/remplacement de l'aorte thoracique/thoraco­abdominale en cas d'anévrisme, sans rupture, sans OP du cœur, mortalité;Resezione/sostituzione dell'aorta toracica/toracicoaddominale in caso di aneurisma, senza lacerazione, senza OP al cuore, mortalità;Resection/replacement of the thoracic/thoracoabdominal aorta for aneurysm, not ruptured, without heart surgery, mortality
F.2.11.M;Resektion/Ersatz der thorakalen/thorakoabdominalen Aorta bei Aneurysma, nicht rupturiert, mit OP am Herzen, Mortalität;Résection/remplacement de l'aorte thoracique/thoraco­abdominale en cas d'anévrisme, sans rupture, avec OP du cœur, mortalité;Resezione/sostituzione dell'aorta toracica/toracicoaddominale in caso di aneurisma, senza lacerazione, con OP al cuore, mortalità;Resection/replacement of the thoracic/thoracoabdominal aorta for aneurysm, not ruptured, with heart surgery, mortality
F.2.12.M;Resektion/Ersatz der thorakalen/thorakoabdominalen Aorta ohne Aneurysma, Mortalität;Résection/remplacement de l'aorte thoracique/thoraco­abdominale sans anévrisme, mortalité;Resezione/sostituzione dell'aorta toracica/toracicoaddominale senza aneurisma, mortalità;Resection/replacement of the thoracic/thoracoabdominal aorta without aneurysm, mortality
F.2.2.M;Resektion/Ersatz der abdominalen Aorta bei Aneurysma, nicht rupturiert, OP offen, Mortalität;Résection/remplacement de l'aorte abdominale en cas d'anévrisme, sans rupture, OP à ciel ouvert, mortalité;Resezione/sostituzione dell'aorta addominale in caso di aneurisma, senza lacerazione, OP a cielo aperto, mortalità;Resection/replacement of the abdominal aorta for aneurysm, not ruptured, open surgery, mortality
F.2.3.M;Endovaskuläre Stent­Prothese der abdominalen Aorta bei Aneurysma (EVAR), nicht rupturiert, Mortalität;Prothèse stentgraft endovasculaire de l'aorte abdominale en cas d'anévrisme (EVAR), sans rupture, mortalité;Protesi endovascolare dell'aorta addominale in caso di aneurisma (EVAR), senza lacerazione, mortalità;Endovascular stent-graft prosthesis of the abdominal aorta for aneurysm (EVAR), not ruptured, mortality
F.2.5.M;Aortenaneurysma rupturiert, Mortalität;Anévrisme de l'aorte avec rupture, mortalité;Aneurisma aortico con lacerazione, mortalità;Ruptured aortic aneurysm, mortality
F.2.6.M;Aortenaneurysma rupturiert, mit OP, Mortalität;Anévrisme de l'aorte avec rupture, avec OP, mortalité;Aneurisma aortico con lacerazione, con OP, mortalità;Ruptured aortic aneurysm, with surgery, mortality
F.2.8.M;Resektion/Ersatz der abdominalen Aorta ohne Aneurysma, OP offen, Mortalität;Résection/remplacement de l'aorte abdominale sans anévrisme, OP à ciel ouvert, mortalité;Resezione/sostituzione dell'aorta addominale senza aneurisma, OP a cielo aperto, mortalità;Resection/replacement of the abdominal aorta without aneurysm, open surgery, mortality
F.2.9.M;Endovaskuläre Stent­Prothese der abdominalen Aorta ohne Aneurysma, Mortalität;Prothèse stentgraft endovasculaire de l'aorte abdominale sans anévrisme, mortalité;Protesi endovascolare dell'aorta addominale senza aneurisma, mortalità;Endovascular stent-graft prosthesis of the abdominal aorta without aneurysm, mortality
F.3.1.M;OP an Becken­/Beinarterien insgesamt, Mortalität;Total des OP des artères du bassin/des jambes, mortalité;OP alle arterie del bacino/delle gambe, totale, mortalità;Total surgery on pelvic/leg arteries, mortality
F.3.2.M;OP an Becken­/Beinarterien bei Claudicatio (Fontaine I+II), Mortalität - SE;OP des artères du bassin/des jambes en cas de claudication (Fontaine I+II), mortalité - SE;OP alle arterie del bacino/delle gambe in caso di claudicatio (Fontaine I+II), mortalità - SE;Surgery on pelvic/leg arteries in cases with claudication (Fontaine I+II), mortality - SE
F.3.3.M;OP an Becken­/Beinarterien bei Ruheschmerz (Fontaine III), Mortalität;OP des artères du bassin/des jambes en cas de douleurs au repos (Fontaine III), mortalité;OP alle arterie del bacino/delle gambe in caso di dolore a riposo (Fontaine III), mortalità;Surgery on pelvic/leg arteries in cases with rest pain (Fontaine III), mortality
F.3.4.M;OP an Becken­/Beinarterien bei Ulzeration oder Gangrän (Fontaine IV), Mortalität;OP des artères du bassin/des jambes en cas d'ulcération ou de gangrène (Fontaine IV), mortalité;OP alle arterie del bacino/delle gambe in caso di ulcera o cancrena (Fontaine IV), mortalità;Surgery on pelvic/leg arteries in cases with ulceration or gangrene (Fontaine IV), mortality
F.3.5.M;OP an Becken­/Beinarterien bei arterieller Embolie/Thrombose, Mortalität;OP des artères du bassin/des jambes en cas d'embolie/de thrombose des artères, mortalité;OP alle arterie del bacino/delle gambe in caso di embolia/trombosi, mortalità;Surgery on pelvic/leg arteries in cases with arterial embolism/thrombosis, mortality
F.3.6.M;OP an Becken­/Beinarterien bei Komplikationen durch Prothesen/Implantate, Mortalität;OP des artères du bassin/des jambes en cas de complications dues à des prothèses/implants, mortalité;OP alle arterie del bacino/delle gambe in caso di complicanze dovute a protesi/impianti, mortalità;Surgery on pelvic/leg arteries in cases with complications due to prostheses/implants, mortality
F.3.7.M;OP an Becken­/Beinarterien bei Aneurysma/Dissektion, Mortalität;OP des artères du bassin/des jambes en cas d'anévrisme/de dissection, mortalité;OP alle arterie del bacino/delle gambe in caso di aneurisma/dissecazione, mortalità;Surgery on pelvic/leg arteries in cases with aneurysm/dissection, mortality
F.4.1.M;Amputation im Fussbereich, kein Trauma, Mortalität;Amputation non traumatique au niveau du pied, mortalité;Amputazione non traumatica nella regione del piede, mortalità;Non-traumatic amputation in the foot region, mortality
F.4.2.M;Amputation untere Extremität, kein Trauma, Mortalität;Amputation non traumatique de membre inférieur, mortalité;Amputazione non traumatica delle estremità inferiori, mortalità;Non-traumatic amputation of the lower limb, mortality
F.5.1.M;PTA an abdominalen/Becken­/Beinarterien ohne Aorta, Mortalität;ATP des artères de l'abdomen/du bassin/des jambes hormis aorte, mortalité;PTA di arterie addominali/del bacino/delle gambe esclusa l'aorta, mortalità;PTA of abdominal/pelvic/leg arteries excluding the aorta, mortality
F.5.4.M;PTA an abdominalen/Becken­/Beinarterien ohne Aorta bei Claudicatio (Fontaine I+II), Mortalität - SE;ATP des artères de l'abdomen/du bassin/des jambes hormis aorte en cas de claudication (Fontaine I+II), mortalité - SE;PTA di arterie addominali/del bacino/delle gambe esclusa l'aorta in caso di claudicatio (Fontaine I+II), mortalità - SE;PTA of abdominal/pelvic/leg arteries excluding the aorta in cases with claudication (Fontaine I+II), mortality - SE
F.5.5.M;PTA an abdominalen/Becken­/Beinarterien ohne Aorta bei Ruheschmerz (Fontaine III), Mortalität;ATP des artères de l'abdomen/du bassin/des jambes hormis aorte en cas de douleurs au repos (Fontaine III), mortalité;PTA di arterie addominali/del bacino/delle gambe esclusa l'aorta in caso di dolore a riposo (Fontaine III), mortalità;PTA of abdominal/pelvic/leg arteries excluding the aorta in cases with rest pain (Fontaine III), mortality
F.5.6.M;PTA an abdominalen/Becken­/Beinarterien ohne Aorta bei Ulzeration oder Gangrän (Fontaine IV), Mortalität;ATP des artères de l'abdomen/du bassin/des jambes hormis aorte en cas d'ulcération ou de gangrène (Fontaine IV), mortalité;PTA di arterie addominali/del bacino/delle gambe esclusa l'aorta in caso di ulcera o cancrena (Fontaine IV), mortalità;PTA of abdominal/pelvic/leg arteries excluding the aorta in cases with ulceration or gangrene (Fontaine IV), mortality
F.5.7.M;PTA an abdominalen/Becken­/Beinarterien bei anderen Diagnosen oder OP an Aorta oder Amputation, Mortalität;ATP des artères de l'abdomen/du bassin/des jambes en cas d'autre diagnostic ou d'une OP de l'aorte ou d'une amputation, mortalité;PTA di arterie addominali/del bacino/delle gambe in caso di altre diagnosi o di OP aortica o di amputazione, mortalità;PTA of abdominal/pelvic/leg arteries in cases with other diagnosis or aortic surgery or amputation, mortality
G.3.1.M;Hysterektomie bei gutartigen Erkrankungen (Alter >14), Mortalität - SE;Hystérectomie pour affections bénignes (âge >14), mortalité - SE;Isterectomia per malattie benigne (età >14), mortalità - SE;Hysterectomy for benign conditions (age >14), mortality - SE
G.4.4.M;Ovariektomie bei bösartigen Neubildungen der Ovarien, Mortalität;Ovariectomie en cas de tumeurs malignes des ovaires, mortalité;Ovariectomia in caso di tumori maligni delle ovaie, mortalità;Oophorectomy for malignant neoplasms of the ovaries, mortality
G.4.6.M;Hysterektomie bei bösartigen Neubildungen des Uterus, Mortalität - SE;Hystérectomie en cas de tumeurs malignes de l'utérus, mortalité - SE;Isterectomia in caso di tumori maligni dell'utero, mortalità - SE;Hysterectomy for malignant neoplasms of the uterus, mortality - SE
H.1.10.M;Nephrektomie bei anderer Diagnose, Mortalität;Néphrectomie pour autre diagnostic, mortalité;Nefrectomia per altra diagnosi, mortalità;Nephrectomy for other diagnosis, mortality
H.1.5.M;Partielle Nephrektomie bei bösartigen Neubildungen der Niere, Mortalität - SE;Néphrectomie partielle en cas de tumeurs malignes du rein, mortalité - SE;Nefrectomia parziale per tumori maligni del rene, mortalità - SE;Partial nephrectomy for malignant neoplasms of the kidney, mortality - SE
H.1.7.M;Partielle Nephrektomie bei anderer Diagnose, Mortalität - SE;Néphrectomie partielle pour autre diagnostic, mortalité - SE;Nefrectomia parziale per altra diagnosi, mortalità - SE;Partial nephrectomy for other diagnosis, mortality - SE
H.1.8.M;Nephrektomie bei bösartigen Neubildungen der Niere, Mortalität;Néphrectomie en cas de tumeurs malignes du rein, mortalité;Nefrectomia per tumori maligni del rene, mortalità;Nephrectomy for malignant neoplasms of the kidney, mortality
H.3.5.M;Zystektomie, Mortalität;Cystectomie, mortalité;Cistectomia, mortalità;Cystectomy, mortality
H.3.6.M;Eviszeration des Beckens bei Mann oder Frau, Mortalität;Éviscération pelvienne chez l'homme ou la femme, mortalité;Eviscerazione pelvica nell'uomo o nella donna, mortalità;Pelvic exenteration in men or women, mortality
H.4.3.M;TUR der Prostata bei gutartigen Erkrankungen, Mortalität - SE;RTU de la prostate pour affections bénignes, mortalité - SE;TUR della prostata per malattie benigne, mortalità - SE;TUR of the prostate for benign conditions, mortality - SE
H.4.4.M;TUR der Prostata bei bösartigen Neubildungen, Mortalität - SE;RTU de la prostate en cas de tumeurs malignes, mortalité - SE;TUR della prostata per tumori maligni, mortalità - SE;TUR of the prostate for malignant neoplasms, mortality - SE
H.5.2.M;Radikale Prostatovesikulektomie, Mortalität - SE;Prostatovésiculectomie radicale, mortalité - SE;Prostatovescicolectomia radicale, mortalità - SE;Radical prostatovesiculectomy, mortality - SE
I.1.10.M;Hüft­Endoprothesen­Erstimplantation bei anderen Diagnosen (nicht in I.1.8.F, I.1.9.F), Mortalität;Première implantation d'endoprothèse de hanche en cas d'autre diagnostic (non spécifiée dans I.1.8.F, I.1.9.F), mortalité;Primo impianto dell'endoprotesi dell'anca in caso di altre diagnosi (non in I.1.8.F, I.1.9.F), mortalità;First hip endoprosthesis implantation for other diagnosis (not specified in I.1.8.F, I.1.9.F), mortality
I.1.12.M;Hüft­Endoprothesen­Wechsel ohne HD Frakturen oder Infektionen, Mortalität - SE;Changement d’endoprothèse de hanche sans DP fractures ou infections, mortalité - SE;Sostituzione dell’endoprotesi dell’anca senza DP fratture o infezioni, mortalità - SE;Hip endoprosthesis revision without PD fractures or infections, mortality - SE
I.1.13.M;Hüft­Endoprothesen­Wechsel ohne HD Frakturen oder Infektionen mit Sonderprothese, Mortalität;Changement d'endoprothèse de hanche sans DP fractures ou infections avec prothèse spéciale, mortalité;Sostituzione dell'endoprotesi dell'anca senza DP fratture o infezioni con protesi speciale, mortalità;Hip endoprosthesis revision without PD fractures or infections with special prosthesis, mortality
I.1.14.M;Hüft­Endoprothesen­Wechsel mit HD Frakturen oder Infektionen, Mortalität;Changement d'endoprothèse de hanche en cas de DP fractures ou infections, mortalité;Sostituzione dell'endoprotesi dell'anca con DP fratture o infezioni, mortalità;Hip endoprosthesis revision in cases with PD fractures or infections, mortality
I.1.15.M;Knie­Endoprothesen­Erstimplantation bei HD Gonarthrose oder chronischer Arthritis, Mortalität - SE;Première implantation d'endoprothèse de genou en cas de DP gonarthrose ou arthrite chronique, mortalité - SE;Primo impianto dell'endoprotesi del ginocchio con DP gonartrosi o artrite cronica, mortalità - SE;First knee endoprosthesis implantation in cases with PD gonarthrosis or chronic arthritis, mortality - SE
I.1.16.M;Knie­Endoprothesen­Erstimplantation bei anderen Diagnosen (nicht in I.1.15.F), Mortalität - SE;Première implantation d'endoprothèse de genou en cas d'autre diagnostic (non spécifiée dans I.1.15.F), mortalité - SE;Primo impianto dell'endoprotesi del ginocchio in caso di altre diagnosi (non in I.1.15.F), mortalità - SE;First knee endoprosthesis implantation for other diagnosis (not specified in I.1.15.F), mortality - SE
I.1.18.M;Knie­Endoprothesen­Wechsel ohne HD Frakturen oder Infektionen, Mortalität - SE;Changement d’endoprothèse de genou sans DP fractures ou infections, mortalité - SE;Sostituzione dell’endoprotesi del ginocchio senza DP fratture o infezioni, mortalità - SE;Knee endoprosthesis revision without PD fractures or infections, mortality - SE
I.1.19.M;Knie­Endoprothesen­Wechsel ohne HD Frakturen oder Infektionen mit Sonderprothese, Mortalität - SE;Changement d'endoprothèse de genou sans DP fractures ou infections avec prothèse spéciale, mortalité - SE;Sostituzione dell'endoprotesi del ginocchio senza DP fratture o infezioni con protesi speciale, mortalità - SE;Knee endoprosthesis revision without PD fractures or infections with special prosthesis, mortality - SE
I.1.20.M;Knie­Endoprothesen­Wechsel mit HD Frakturen oder Infektionen, Mortalität;Changement d'endoprothèse de genou en cas de DP fractures ou infections, mortalité;Sostituzione dell'endoprotesi del ginocchio con DP fratture o infezioni, mortalità;Knee endoprosthesis revision in cases with PD fractures or infections, mortality
I.1.21.M;Hüft­ oder Knie­Endoprothesen­Eingriffe bei Tumor, Mortalität;Interventions de l'endoprothèse de hanche ou de genou en cas de tumeurs, mortalité;Interventi di endoprotesi dell'anca o del ginocchio in caso di tumore, mortalità;Hip or knee endoprosthesis procedures in cases with tumor, mortality
I.1.22.M;Hüft­ und Knie­Endoprothesen­Eingriffe kombiniert, Mortalität;Interventions combinées de l'endoprothèse de hanche et de genou, mortalité;Interventi combinati di endoprotesi dell'anca e del ginocchio, mortalità;Combined hip and knee endoprosthesis procedures, mortality
I.1.8.M;Hüft­Endoprothesen­Erstimplantation bei HD Koxarthrose oder chronischer Arthritis, Mortalität - SE;Première implantation d'endoprothèse de hanche en cas de DP coxarthrose ou arthrite chronique, mortalité - SE;Primo impianto dell'endoprotesi dell'anca con DP coxartrosi o artrite cronica, mortalità - SE;First hip endoprosthesis implantation in cases with PD coxarthrosis or chronic arthritis, mortality - SE
